0
Cell ID 	 Celda Direccion 	 Celda Num 	 Celda Localidad 	 Celda Provincia 	 Radio Cobertura (en KM) 	 Azimuth 	 Latitud 	 Longitud
 ZSFFLOL11 	 ARENALES 	 7262	 SANTA FE	 SANTA FE	 1.9 	 5 	 -31.6068986	 -60.7240183
 ZSFPGAN13 	 CATAMARCA 	 3750	 SANTA FE	 SANTA FE	 0.89 	 240 	 35.69213486	 -105.93959045
 ZSFCOLM16 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 4 	 290 	 -32.81131455	 -61.41171015
 ZSTPLAL12 	 12 DE SEPTIEMBRE 	 740	 SANTO TOME - SE	 SANTA FE	 4 	 197 	 -31.67807521	 -60.78428477
 ZSFCERN13 	 NECOCHEA GRAL MARIANO 	 2953	 SANTA FE	 SANTA FE	 0.4 	 243 	 -33.04196918	 -61.17523711
 ZSFCERM13 	 NECOCHEA GRAL MARIANO 	 2953	 SANTA FE	 SANTA FE	 0.4 	 245 	 -33.04196918	 -61.17523711
 ZSFSLOF13 	 LAMADRID 	 997	 SANTA FE	 SANTA FE	 3 	 260 	 -31.65668094	 -60.73130896
 ZSFCOLL12 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 4.73 	 145 	 -32.81131455	 -61.41171015
 ZSFSLOV13 	 LAMADRID 	 997	 SANTA FE	 SANTA FE	 4 	 259 	 -31.65668094	 -60.73130896
 ZSFSLON13 	 LAMADRID 	 997	 SANTA FE	 SANTA FE	 3 	 260 	 -31.65668094	 -60.73130896
 ZSTPLAN12 	 12 DE SEPTIEMBRE 	 740	 SANTO TOME - SE	 SANTA FE	 4 	 200 	 -31.67807521	 -60.78428477
 ZSFCOLN13 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 2.69 	 263 	 -32.81131455	 -61.41171015
 ZSFCANF12 	 DEL CAMPILLO JUAN 	 1376	 SANTA FE	 SANTA FE	 2.37 	 120 	 -31.6328892	 -60.68818275
 ZSFMAKF13 	 MATACOS 	 5048	 SANTA FE	 SANTA FE	 2.18 	 280 	 -32.9341499	 -60.6927869
 ZSFLLEF13 	 LLERENA JUAN 	 1147	 SANTA FE	 SANTA FE	 1.92 	 237 	 -31.61705652	 -60.68124487
 ZSTPLAL11 	 12 DE SEPTIEMBRE 	 740	 SANTO TOME - SE	 SANTA FE	 4 	 27 	 -31.67807521	 -60.78428477
 ZSFSLON12 	 LAMADRID 	 997	 SANTA FE	 SANTA FE	 3 	 140 	 -31.65668094	 -60.73130896
 ZSFCOLL13 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 2.69 	 265 	 -32.81131455	 -61.41171015
 ZSFURQN13 	 JUJUY 	 3051	 SANTA FE	 SANTA FE	 0.62 	 263 	 35.69213486	 -105.93959045
 ZSFPALN13 	 25 DE MAYO 	 2536	 SANTA FE	 SANTA FE	 1 	 240 	 -33.23029327	 -60.343853
 ZSFCORF11 	 SAN MARTIN 	 2081	 SANTA FE	 SANTA FE	 1 	 357 	 -31.65176111	 -60.70821788
 ZSFCORM14 	 SAN MARTIN 	 2081	 SANTA FE	 SANTA FE	 1 	 32 	 -31.65176111	 -60.70821788
 ZSFCORN11 	 SAN MARTIN 	 2081	 SANTA FE	 SANTA FE	 0.57 	 1 	 -31.65176111	 -60.70821788
 ZSFFLOF11 	 ARENALES 	 7262	 SANTA FE	 SANTA FE	 2.3 	 0 	 -31.6068986	 -60.7240183
 ZSFGORM11 	 REGIMIENTO 12 INFANTERIA 	 5348	 SANTA FE	 SANTA FE	 2 	 65 	 -31.59134997	 -60.72647561
 ZSFCOLF12 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 5.23 	 140 	 -32.81131455	 -61.41171015
 ZSTPLAO11 	 12 DE SEPTIEMBRE 	 740	 SANTO TOME - SE	 SANTA FE	 2.01 	 29 	 -31.67807521	 -60.78428477
" ZSFYAGF12 	 PARERA BLAS ,AV. 	 5883	 SANTA FE	 SANTA FE	 2 	 120 	 -31.60927167	 -60.71933754"
 ZSFSLOM13 	 LAMADRID 	 997	 SANTA FE	 SANTA FE	 4 	 260 	 -31.65668094	 -60.73130896
 ZSFCOLF13 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 0.96 	 260 	 -32.81131455	 -61.41171015
 ZSFURQL13 	 JUJUY 	 3051	 SANTA FE	 SANTA FE	 0.62 	 265 	 35.69213486	 -105.93959045
 ZSFCOLN12 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 5.7 	 143 	 -32.81131455	 -61.41171015
 ZSFSLOL13 	 LAMADRID 	 997	 SANTA FE	 SANTA FE	 3 	 257 	 -31.65668094	 -60.73130896
 ZSTOCEM11 	 IRIGOYEN H 	 2259	 SANTO TOME - SE	 SANTA FE	 2 	 0 	 35.23818833	 -106.6926051
" ZBARRAL11 	 PAGANINI ,AV. 	 655	 BARRANCAS - SF	 SANTA FE	 5.22 	 359 	 -32.23418427	 -60.98116684"
 ZCARRIM12 	 MONTEAGUDO 	 624	 CARRIZALES CLARKE	 SANTA FE	 5.1 	 120 	 -19.80283928	 -63.95510483
 ZRNALEM11 	 MATHEU 	 3252	 ROSARIO	 SANTA FE	 3 	 90 	 -32.88914578	 -60.73037677
 ZVGGALN12 	 MALVINAS ARGENTINAS 	 2221	 VILLA GDOR GALVEZ	 SANTA FE	 1.46 	 208 	 -32.41340805	 -63.22124222
 BSNOESL12 	 SAN JUAN 	 630	 SAN NICOLAS DE LOS ARROYO	 BUENOS AIRES	 4.59 	 207 	 -33.33228021	 -60.24432258
 BRTALAL13 	 RUTA 9 	 154	 RIO TALA	 BUENOS AIRES	 5.27 	 247 	 -32.56099	 -57.48179
 NK92TPL13 	 RUTA N 9 	 92	 ZARATE	 BUENOS AIRES	 7.8 	 291 	 14.65289	 120.99117
" NTCRTPF13 	 009 ,RUTA NAC. 	 95501	 ZARATE	 BUENOS AIRES	 3.11 	 311 	 40.79045105	 -124.15735626"
 NSF2TPN11 	 OLAZABAL 	 3013	 BOULOGNE	 BUENOS AIRES	 0.92 	 90 	 -34.49061442	 -58.59325349
 STVSTPL13 	 AGRELO 	 899	 CIUDAD MADERO	 BUENOS AIRES	 0.88 	 291 	 -34.68513923	 -58.50698281
 SCROTPL11 	 SANCHEZ FLORENCIO 	 245	 LA TABLADA	 BUENOS AIRES	 0.88 	 91 	 -34.68464692	 -58.51981399
 SGQUIVM11 	 TILCARA 	 340	 BANFIELD	 BUENOS AIRES	 1.8 	 328 	 -23.57678986	 -65.39339447
 SGQUIVF11 	 TILCARA 	 340	 BANFIELD	 BUENOS AIRES	 1.13 	 10 	 -23.57678986	 -65.39339447
 SGQUIVN11 	 TILCARA 	 340	 BANFIELD	 BUENOS AIRES	 1.62 	 10 	 -23.57678986	 -65.39339447
 CBCYTPF11 	 HELGUERA 	 176	 CAPITAL FEDERAL	 CAPITAL FEDERAL	 0.6 	 90 	 -34.67841962	 -58.52640658
 CBCYTPO11 	 HELGUERA 	 176	 CAPITAL FEDERAL	 CAPITAL FEDERAL	 0.23 	 90 	 -34.67841962	 -58.52640658
